Loan Id,Duration,Received,Persons Received From Total,Banks Received,Paybills Received Others
recS5pB4tYWHu3hVt,12,306460.47,282275,63285,24166.94
recQD3iIYgOM772zY,12,389191.97,302754,6000,0
recrosT6ugDw2UKie,6,1141747.17,1055392,1861539,201260
recs83ACYvERsvf22,6,367787.37,359943,17320,20506
,12,199929.45,180016,6795,260
rec9fJPHhRufzp1Re,12,469489.44,461568,398160,67714
recD1NxVY3ufxhpRf,12,591134.39,538667,38700,74610.74
,6,261002.26,240031,161330,69908
recnZ2QPtu4rFpDPT,12,4996236.97,4264879,2589389,252485
,10,1233789.58,1038133,178400,115012
recZi5g5s3jTbrwmr,6,677989.81,604262,21100,0
recTCAkhFhRrwJKMe,12,219152.28,177306,971902,30306
recLgu90gZdrvPGQ2,12,3282179.73,3277553,408749,3100
,12,70154,59994,200,500
,12,460373,460873,964357,18400
recfRBzi9dLPeGSRk,12,254274.48,252065,21448,17051
recjvFz1m370qCcAc,12,569232.68,501711,473344,1600
,12,84748.65,84426,0,112920
,12,2427102.89,1821355,520500,378270
,12,318039.8,279126,36080,2607
rec4XoCexHSfNZE7U,12,386299.82,378512,5050,8755
,6,113263.5,111292,58440,4553
,12,147890.84,147198,22150,0
reckOPDqD8xwVJfM2,12,154407.63,144003,11245,18167
,10,23223.11,22119,3967,76
,12,558408.22,538026,920,7806.59
,12,3226308.48,3223719,434730,4960
,6,366648,366648,22650,285
recOg5q287b4vqZ3R,12,101835.98,100220,110422,4067
,11,787979,787979,875100,521430
,23,163277.58,122724,35300,1342510
,23,163277.58,122724,35300,1342510
,12,1726987.23,1143895,432115,20000
rectHy0GvDDmVflz3,12,335668.52,235769,1545770,103454
,12,126958,125898,88865,3364
recM6o3uVFLTFB1SD,12,111674.73,102009,164254,1695
recYCBnNPxhYoXWWS,11,499560.13,391281,352458,46226.08
rec0uvp87siH9iFGD,12,69955.81,52959,21905,28301
,7,7286964.53,6933809,1591900,89210
,11,794960.22,616989,192465,115200
,6,229555.06,216640,130328,148054.27
,6,2803021.16,2543967,338060,3543830
,6,349796.6,195204,13455,200
recHtynvcQV8vY0OD,11,473089.72,170851,9030,45685
,12,71869,71819,1075,105
,6,25461,25411,75,2962
recM0oElaHUNGCp0I,12,478156.02,475428,84700,25600
,12,228354.61,201366,16124,1340
,6,634941.24,597872,277400,294430
recQfKZtEnHX2KL2a,6,811052.04,761500,647050,36100
,6,65445.02,36460,220508,157650
,12,2361218.7,2128166,82050,44600
,6,14401,14402,86850,225
,12,822111.4,823199,559512,15448
,6,316070,316070,496965,10
,12,122050.48,120759,39170,8998
,6,47230,46730,25640,10
,12,204404.79,183001,274772,864
,12,684505.55,265513,1050470,100000
recq7OATaYDtD2e3r,6,102609.7,71705,50750,300
recbqk0ojGmsSQz76,12,278807.81,242958,30850,39859
